date,views,unique_visitors
2026-06-24,0,0
2026-06-25,0,0
2026-06-26,0,0
2026-06-27,0,0
2026-06-28,0,0
2026-06-29,0,0
2026-06-30,0,0
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,0,0
2026-07-06,1,1
2026-07-07,37,4
2026-07-08,14,3
2026-07-09,1,1
2026-07-10,3,1
2026-07-11,0,0
2026-07-12,0,0
2026-07-13,0,0
2026-07-14,0,0
2026-07-15,0,0
2026-07-16,1,1
2026-07-17,10,1
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,0,0
2026-07-21,0,0
2026-07-22,0,0
2026-07-23,1,1
2026-07-24,4,1
2026-07-25,2,2
2026-07-26,0,0
2026-07-27,9,4
2026-07-28,0,0
2026-07-29,0,0
2026-07-30,0,0
2026-07-31,0,0
2026-08-01,12,1
2026-08-02,1,1
2026-08-03,1,1
2026-08-04,23,3
2026-08-05,0,0
2026-08-06,0,0
2026-08-07,0,0
2026-08-08,0,0
2026-08-09,0,0
2026-08-10,1,1
2026-08-11,0,0
2026-08-12,0,0
2026-08-13,0,0
2026-08-14,1,1
2026-08-15,5,1
2026-08-16,1,1
2026-08-17,0,0
2026-08-18,1,1
2026-08-19,0,0
2026-08-20,0,0
